Prscrbr_NPI,Prscrbr_Last_Org_Name,Prscrbr_First_Name,Prscrbr_City,Prscrbr_State_Abrvtn,Prscrbr_State_FIPS,Prscrbr_Type,Prscrbr_Type_Src,Brnd_Name,Gnrc_Name,Tot_Clms,Tot_30day_Fills,Tot_Day_Suply,Tot_Drug_Cst,Tot_Benes,GE65_Sprsn_Flag,GE65_Tot_Clms,GE65_Tot_30day_Fills,GE65_Tot_Drug_Cst,GE65_Tot_Day_Suply,GE65_Bene_Sprsn_Flag,GE65_Tot_Benes
1467457358,Tedder,Barry,Jonesboro,AR,5,Cardiology,S,Atorvastatin Calcium,Atorvastatin Calcium,1211,2139.4,64088,12885.56,286,,1010,1797,11153.63,53832,,235
1174528129,Droogan,Christopher,Wynnewood,PA,42,Advanced Heart Failure and Transplant Cardiology,S,Atorvastatin Calcium,Atorvastatin Calcium,552,1517.2,45465,11297.47,162,,524,1441.2,10810.08,43185,,150
1467457358,Tedder,Barry,Jonesboro,AR,5,Cardiology,S,Ezetimibe,Ezetimibe,765,1230.4,36899,33996.05,175,,608,965.8,25509.17,28963,,136
1174528129,Droogan,Christopher,Wynnewood,PA,42,Advanced Heart Failure and Transplant Cardiology,S,Metoprolol Succinate,Metoprolol Succinate,433,1163,34834,15100.89,125,,412,1120,14741.95,33544,#,
1467457358,Tedder,Barry,Jonesboro,AR,5,Cardiology,S,Clopidogrel,Clopidogrel Bisulfate,662,1124.2,33662,5357.32,148,,568,958.2,4435.52,28681,,123
1255587465,Lopez De Leon,Angela,Greenwood,SC,45,Cardiology,S,Metoprolol Succinate,Metoprolol Succinate,425,1037.2,31040,14081.28,133,,385,951.2,13038.48,28460,,121
1104011592,Case,Rachel,Greenwood,SC,45,Nurse Practitioner,S,Furosemide,Furosemide,506,982.7,29234,3677.01,197,,456,873.2,3255.08,25956,,175
1467457358,Tedder,Barry,Jonesboro,AR,5,Cardiology,S,Carvedilol,Carvedilol,605,937.8,28126,3255,135,,518,777.8,2706.41,23326,,104
1104011592,Case,Rachel,Greenwood,SC,45,Nurse Practitioner,S,Metoprolol Succinate,Metoprolol Succinate,430,916,27357,11066.16,175,,394,838,10153.97,25061,,155
1598729253,Orlandi,Quirino,Minneapolis,MN,27,Cardiology,S,Metoprolol Succinate,Metoprolol Succinate,312,804.5,24023,9059.07,123,#,,,,,#,
1598729253,Orlandi,Quirino,Minneapolis,MN,27,Cardiology,S,Rosuvastatin Calcium,Rosuvastatin Calcium,284,730.7,21867,14887.85,98,,273,709.7,14370.95,21237,#,
1174528129,Droogan,Christopher,Wynnewood,PA,42,Advanced Heart Failure and Transplant Cardiology,S,Carvedilol,Carvedilol,299,686,20576,3930.29,72,,251,602.5,3602.55,18071,,59
1174528129,Droogan,Christopher,Wynnewood,PA,42,Advanced Heart Failure and Transplant Cardiology,S,Amlodipine Besylate,Amlodipine Besylate,252,674,20220,2224.45,81,,240,642,2191.31,19260,#,
1467457358,Tedder,Barry,Jonesboro,AR,5,Cardiology,S,Lisinopril,Lisinopril,372,671,20089,1375.95,99,,309,562,1175.16,16819,,75
1174528129,Droogan,Christopher,Wynnewood,PA,42,Advanced Heart Failure and Transplant Cardiology,S,Rosuvastatin Calcium,Rosuvastatin Calcium,242,653,19590,9776.78,67,#,,,,,#,
1104011592,Case,Rachel,Greenwood,SC,45,Nurse Practitioner,S,Potassium Chloride,Potassium Chloride,360,666.5,19374,14938.51,120,,290,546,10805.29,15949,,97
1467457358,Tedder,Barry,Jonesboro,AR,5,Cardiology,S,Amlodipine Besylate,Amlodipine Besylate,352,627,18807,1931.96,92,,328,577,1608.78,17307,,81
